,customer_id,name,age,gender,income_level,family_size,distance_to_shop(km),lifestyle,food_preferences,interest,martial_status,vehicle,email,phone
0,1,Amanda Hart MD,38,male,low,5,0.93,active,gluten-free,foodies,unmarried,does_not_have_vehicle,joseph72@example.org,6267747492
1,2,Teresa Butler,52,male,high,2,1.98,sedentary,vegetarian,gourmet_and_baking_enthusiast,married,has_vehicle,bowenpaul@example.org,4023220789
2,3,Michael Rogers,11,male,low,9,4.96,active,non-vegetarian,foodies,unmarried,has_vehicle,lisalin@example.com,868-486-7014
3,4,Dana Gallegos,45,female,high,6,0.21,active,vegetarian,foodies,unmarried,has_vehicle,qhale@example.org,001-233-690-0456x072
4,5,Paige Monroe,43,male,medium,3,1.13,sedentary,non-vegetarian,health_and_nutrition,unmarried,does_not_have_vehicle,gcampbell@example.org,934-244-7025x5377
5,6,Haley Vang,10,male,medium,4,0.8,sedentary,non-vegetarian,gourmet_and_baking_enthusiast,married,has_vehicle,harrisrobert@example.net,(993)678-3030
6,7,Andrew Vasquez,28,male,medium,3,1.52,active,non-vegetarian,socializing,unmarried,has_vehicle,zdean@example.com,473-260-9627x888
7,8,Michele Scott,12,female,low,6,2.96,active,vegan,socializing,unmarried,has_vehicle,njames@example.com,+1-710-254-6527x56251
8,9,David Blackwell,24,female,low,2,1.07,sedentary,gluten-free,celebratory_cakes,unmarried,has_vehicle,smithsamantha@example.com,799.998.5288
9,10,Benjamin Alexander,11,male,low,6,6.28,sedentary,non-vegetarian,foodies,unmarried,has_vehicle,brownrobert@example.com,574-786-0121x958
10,11,James Martin,45,female,low,7,3.03,active,vegan,celebratory_cakes,unmarried,has_vehicle,jeff09@example.net,(337)665-1386x54440
11,12,Jonathan Brown,13,male,high,3,0.66,active,non-vegetarian,health_and_nutrition,unmarried,has_vehicle,michael92@example.org,408-556-7099x7255
12,13,Steven Escobar,15,male,high,3,0.74,active,non-vegetarian,gourmet_and_baking_enthusiast,married,has_vehicle,jasonhobbs@example.com,(712)597-6362
13,14,Heather Kim,25,female,medium,3,0.89,active,vegan,celebratory_cakes,married,has_vehicle,bbutler@example.com,001-323-251-7855x332
14,15,Gabriel Meyer,46,female,low,3,1.55,sedentary,vegetarian,gourmet_and_baking_enthusiast,married,has_vehicle,mhowell@example.org,923-974-8277x7175
15,16,Frederick Simpson,46,male,medium,3,0.74,active,vegetarian,foodies,unmarried,has_vehicle,brian62@example.org,867.292.4363
16,17,Mary Bradshaw,33,male,medium,3,1.11,active,vegetarian,foodies,unmarried,has_vehicle,pmurphy@example.com,001-420-664-2795x0834
17,18,David Murphy,16,male,high,4,1.26,active,non-vegetarian,gourmet_and_baking_enthusiast,unmarried,does_not_have_vehicle,logan21@example.com,+1-309-567-9522x706
18,19,Molly Stone,23,female,low,7,0.22,active,vegetarian,gourmet_and_baking_enthusiast,married,has_vehicle,jrose@example.org,848-907-8798x792
19,20,Melissa Taylor,20,male,high,4,1.78,active,vegan,foodies,unmarried,has_vehicle,david87@example.net,949-754-8052
20,21,Brian Ellis,20,female,medium,2,1.6,active,non-vegetarian,gourmet_and_baking_enthusiast,unmarried,has_vehicle,ilivingston@example.org,528-659-4975
21,22,Caitlyn James,13,male,low,4,3.92,active,vegetarian,socializing,unmarried,has_vehicle,ericahodge@example.net,(703)749-1567
22,23,Mark Jones,33,female,high,6,1.2,sedentary,non-vegetarian,celebratory_cakes,unmarried,does_not_have_vehicle,uwilkins@example.org,854-589-0674x897
23,24,Tony Lara,22,female,medium,6,0.2,health_conscious,non-vegetarian,foodies,unmarried,does_not_have_vehicle,lisawallace@example.com,419-966-9731
24,25,Dr. Jason Dixon,18,female,low,4,4.48,sedentary,vegan,foodies,unmarried,has_vehicle,christensenangel@example.com,479.236.9892
25,26,Derek Rodriguez,31,male,medium,3,2.16,active,non-vegetarian,celebratory_cakes,married,does_not_have_vehicle,sarahjones@example.com,517-879-3614
26,27,Jennifer Moss,21,male,medium,4,6.1,active,non-vegetarian,celebratory_cakes,married,has_vehicle,christopher60@example.net,001-779-640-8095x10704
27,28,Erica Davis,24,male,high,3,0.83,active,vegetarian,foodies,unmarried,has_vehicle,chaneyvalerie@example.net,+1-981-985-8456x200
